"","provincia","sexo","idade_gt7","variable","value","count","percent"
"331","SOFALA","MASCULINO",1,"dif_concentrar","GRAVE OU NAO PODE FAZER",2,"1"
"332","SOFALA","MASCULINO",1,"dif_concentrar","MUITA",1,"0.5"
"333","SOFALA","MASCULINO",1,"dif_concentrar","NENHUMA",144,"72.4"
"334","SOFALA","MASCULINO",1,"dif_concentrar","PEQUENA",38,"19.1"
"335","SOFALA","MASCULINO",1,"dif_andar","ALGUMA",17,"8.5"
"336","SOFALA","MASCULINO",1,"dif_andar","GRAVE OU NAO PODE FAZER",1,"0.5"
"337","SOFALA","MASCULINO",1,"dif_andar","MUITA",14,"7"
"338","SOFALA","MASCULINO",1,"dif_andar","NENHUMA",144,"72.4"
"339","SOFALA","MASCULINO",1,"dif_andar","PEQUENA",23,"11.6"
"340","SOFALA","MASCULINO",1,"dif_banho","MUITA",2,"1"
"341","SOFALA","MASCULINO",1,"dif_banho","NENHUMA",191,"96"
"342","SOFALA","MASCULINO",1,"dif_banho","PEQUENA",6,"3"
