"Unidade_Sanitaria","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Munhava","Apr","Tratados_ACTs","LR","NEP_FISICO",756,515,0.681216931216931,0.607861180709013,0.762951237446948,"low",0.318783068783069
"CS Munhava","Feb","Tratados_ACTs","LR","NEP_FISICO",216,561,2.59722222222222,2.21606080270667,3.05284482395837,"low",-1.59722222222222
"CS Munhava","Jul","Tratados_ACTs","LR","NEP_FISICO",433,530,1.22401847575058,1.07603150611555,1.39295305764492,"high",-0.224018475750577
"CS Munhava","Jun","Tratados_ACTs","LR","NEP_FISICO",711,807,1.13502109704641,1.02489927765413,1.25718493263991,"high",-0.135021097046413
"CS Munhava","Mar","Tratados_ACTs","LR","NEP_FISICO",164,337,2.05487804878049,1.70006793638569,2.49184087571885,"low",-1.05487804878049
"CS Munhava","May","Tratados_ACTs","LR","NEP_FISICO",686,861,1.25510204081633,1.13399075244039,1.38955867157124,"medium",-0.255102040816327
"CS Vila Nova","Apr","Tratados_ACTs","LR","NEP_FISICO",2022,1974,0.976261127596439,0.917091681282588,1.03923587733441,"high",0.0237388724035608
"CS Vila Nova","Feb","Tratados_ACTs","LR","NEP_FISICO",1841,3192,1.73384030418251,1.63666825103943,1.83719376163785,"low",-0.733840304182509
"CS Vila Nova","Jun","Tratados_ACTs","LR","NEP_FISICO",1298,891,0.686440677966102,0.629626264374158,0.748121111637565,"low",0.313559322033898
"CS Vila Nova","Mar","Tratados_ACTs","LR","NEP_FISICO",1414,3021,2.13649222065064,2.00506421645275,2.27737343748257,"low",-1.13649222065064
"CS Vila Nova","May","Tratados_ACTs","LR","NEP_FISICO",1417,1561,1.10162314749471,1.02452167904935,1.1846027837078,"high",-0.101623147494707
"Eduardo Mondlane","Apr","Tratados_ACTs","LR","NEP_FISICO",3404,5850,1.71856639247944,1.64718194457586,1.7932577204903,"low",-0.718566392479436
"Eduardo Mondlane","Feb","Tratados_ACTs","LR","NEP_FISICO",4862,4261,0.876388317564788,0.84087683290854,0.913373863242863,"high",0.123611682435212
"Eduardo Mondlane","Jul","Tratados_ACTs","LR","NEP_FISICO",1469,2253,1.53369639210347,1.43548965882566,1.6390022321862,"low",-0.533696392103472
"Eduardo Mondlane","Jun","Tratados_ACTs","LR","NEP_FISICO",2686,2663,0.991437081161579,0.939343838419561,1.04641598458462,"high",0.00856291883842144
