"district","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Gondola","Mar","Testados","LR","FB",2246,2903,1.29252003561888,1.22283126852672,1.36631452940045,"low",-0.292520035618878
"Gondola","May","Testados","LR","FB",5517,2229,0.404023926046765,0.384459469528663,0.424473681705648,"low",0.595976073953235
"Manica","Apr","Testados","LR","FB",11004,3915,0.355779716466739,0.342950308911958,0.369030430973143,"low",0.644220283533261
"Manica","Feb","Testados","LR","FB",4106,3032,0.738431563565514,0.704344873496543,0.774103053077629,"low",0.261568436434486
"Manica","Jul","Testados","LR","FB",3352,1863,0.555787589498807,0.524902403468344,0.588353193748665,"low",0.444212410501193
"Manica","Jun","Testados","LR","FB",8644,3027,0.350185099490976,0.335875512687837,0.365028479360631,"low",0.649814900509024
"Manica","Mar","Testados","LR","FB",6812,3091,0.453758073987082,0.434735447105912,0.473532024167611,"low",0.546241926012918
"Manica","May","Testados","LR","FB",5977,3422,0.572528024092354,0.548811938503583,0.597196734491784,"low",0.427471975907646
"Nhamatanda","Apr","Testados","LR","FB",3753,4004,1.06687982946976,1.02015776695159,1.11575977594635,"high",-0.0668798294697575
"Nhamatanda","Feb","Testados","LR","FB",1876,1858,0.990405117270789,0.928364716256145,1.05658618738804,"high",0.00959488272921109
"Nhamatanda","Jul","Testados","LR","FB",2722,2342,0.860396767083027,0.813809320032026,0.909598312152224,"high",0.139603232916973
"Nhamatanda","Jun","Testados","LR","FB",2710,1376,0.507749077490775,0.475508216077237,0.541985997165938,"low",0.492250922509225
"Nhamatanda","Mar","Testados","LR","FB",2195,2395,1.09111617312073,1.0292888270187,1.15670031970546,"high",-0.0911161731207289
"Nhamatanda","May","Testados","LR","FB",3242,1616,0.498457742134485,0.469289458433102,0.529278442804352,"low",0.501542257865515
"Beira","Apr","Positivos","LR","FB",758,354,0.467018469656992,0.410490945197974,0.530522680814282,"low",0.532981530343008
