"Unidade_Sanitaria","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Cheadeia","Tratados_ACTs","LR","SIS_MA",275,295,1.07272727272727,0.907105057349953,1.26891130081733,"high",-0.0727272727272727
"CS Dondo","Tratados_ACTs","LR","SIS_MA",3013,9965,3.30733488217723,3.17494292633408,3.44601935856788,"low",-2.30733488217723
"CS Inchope","Tratados_ACTs","LR","SIS_MA",4271,3635,0.851088738000468,0.814042242027973,0.889785862738274,"medium",0.148911261999532
"CS Mafambisse","Tratados_ACTs","LR","SIS_MA",4981,6673,1.33969082513551,1.29122041650507,1.39004905580772,"low",-0.339690825135515
"CS Mascarenhas","Tratados_ACTs","LR","SIS_MA",843,1770,2.09964412811388,1.93320091950392,2.28181804868389,"low",-1.09964412811388
"CS Messica","Tratados_ACTs","LR","SIS_MA",10397,10880,1.04645570837742,1.0186075076644,1.07506967391118,"high",-0.0464557083774166
"CS Muanza Baixo","Tratados_ACTs","LR","SIS_MA",486,506,1.04115226337449,0.917464170286976,1.18161238814971,"high",-0.0411522633744856
"CS Muanza Sede","Tratados_ACTs","LR","SIS_MA",564,1251,2.21808510638298,2.00657944175456,2.45426579210992,"low",-1.21808510638298
"CS Munhava","Tratados_ACTs","LR","SIS_MA",2966,3606,1.21577882670263,1.15779990520276,1.27673536227934,"medium",-0.21577882670263
"CS Vila Nova","Tratados_ACTs","LR","SIS_MA",7992,10509,1.31493993993994,1.27711749104532,1.35392153933127,"low",-0.31493993993994
"Eduardo Mondlane","Tratados_ACTs","LR","SIS_MA",17623,22351,1.26828576292345,1.24343356155591,1.29364953980925,"low",-0.268285762923452
"HD Gondola","Tratados_ACTs","LR","SIS_MA",17521,23428,1.33713829119343,1.3111606738711,1.36364937331222,"low",-0.337138291193425
"HD Manica","Tratados_ACTs","LR","SIS_MA",5762,6104,1.05935439083652,1.02172779778369,1.09837694544034,"high",-0.0593543908365151
"HR Nhamatanda","Tratados_ACTs","LR","SIS_MA",3389,4276,1.26172912363529,1.20583398622279,1.32029358218268,"low",-0.261729123635291
"CS Muanza Sede","Obitos","LR","SIS_MA",4,3,0.75,0.109863474663122,4.43325988918238,"high",0.25
"HD Gondola","Obitos","LR","SIS_MA",22,10,0.454545454545455,0.192157592639203,1.00031037468743,"high",0.545454545454545
"HR Nhamatanda","Obitos","LR","SIS_MA",3,8,2.66666666666667,0.640036412582459,15.6064036406392,"high",-1.66666666666667
